2016 Rank,Company,Category Detail,Franchise 500 Rank,Initial Investment,High,Change In Units 1 Yr,Change In Units 3 Yr,Founded,Franchising Since,Corporate Address,Veteran Incentives,Highest Rank,Lowest Rank,Where Seeking Franchisees,Operations
104,Golden Corral Restaurants,"Family steakhouse, buffet, and bakery",#104 Franchise 500,"$1,968,244 ","$5,969,693 ",,,1973,1987,"5151 Glenwood Ave. Raleigh, NC 27612",,82,181,throughout the US,Additional Training: At company training location
105,Plato's Closet,Teen- and young-adult-clothing resale stores,#105 Franchise 500,"$238,100 ","$398,300 ",+7.1% +31 UNITS,+14.4% +63 UNITS,1998,1999,"605 Hwy. 169 N., #400 Minneapolis, MN 55441",,97,165,,Training Onsite: 4 days
106,Maaco Franchising Inc.,Auto painting and collision repair,#106 Franchise 500,"$375,052 ","$487,052 ",+1.5% +7 UNITS,+5.1% +24 UNITS,1972,1972,"440 S. Church St., #700 Charlotte, NC 28202",25% off franchise fee,84,220,worldwide,Training Onsite: 5 days
107,CertaPro Painters Ltd.,Residential and commercial painting,#107 Franchise 500,"$134,750 ","$169,500 ",+4.8% +23 UNITS,+6.9% +33 UNITS,1992,1992,"150 Green Tree Rd., #1003 Oaks, PA 19456","10% off franchise fee, preferred in-house financing",86,299,,Training Onsite: 155 hours
108,ampm,Convenience stores and gas stations,#108 Franchise 500,"$400,509 ","$7,807,883 ",+0.7% +7 UNITS,+0.6% +6 UNITS,1975,1979,"4 Centerpointe Dr. La Palma, CA 90623",50% off franchise fee,2,177,in the following regions/states;See List,Training Onsite: 10 days
109,Goddard Systems Inc.,Preschool/educational childcare,#109 Franchise 500,"$610,100 ","$729,300 ",+3.0% +13 UNITS,+8.5% +37 UNITS,1986,1988,"1016 W. Ninth Ave., #140 King of Prussia, PA 19406","$20,000 off franchise fee",87,143,throughout the US,Training at headquarters: 14 days
110,Charleys Philly Steaks,"Philly cheesesteaks, fries, lemonade",#110 Franchise 500,"$162,850 ","$475,923 ",+1.7% +9 UNITS,+7.1% +38 UNITS,1986,1991,"2500 Farmers Dr., #140 Columbus, OH 43235",,91,153,worldwide,Training at headquarters: 21 days
111,Qdoba Mexican Eats,Mexican food,#111 Franchise 500,"$851,600 ","$1,131,000 ",+2.9% +19 UNITS,+9.1% +60 UNITS,1995,1997,"9330 Balboa Ave. San Diego, CA 92123",,87,111,,Training at headquarters: 20 days
112,Home Helpers/Direct Link,"Medical/nonmedical personal care, monitoring products and services",#112 Franchise 500,"$70,850 ","$117,600 ",,,1997,1997,"10700 Montgomery Rd., #300 Cincinnati, OH 45242","$5,000 off franchise fee",53,112,worldwide,Training Onsite: ongoing
113,Pita Pit Inc.,Pita sandwiches,#113 Franchise 500,"$211,362 ","$366,453 ",+11.8% +67 UNITS,+16.7% +95 UNITS,1995,1997,"105 N. 4th St., #208 Coeur d'Alene, ID 83814",20% off franchise fee,113,212,worldwide,Training Onsite: 10 days
114,Heaven's Best Carpet & Upholstery Cleaning,Carpet and upholstery cleaning,#114 Franchise 500,"$55,000 ","$84,000 ",,,1983,1983,"247 N. 1st East Rexburg, ID 83440","$2,000 off franchise fee/equipment, 50% royalty fee for the first year",40,130,,Training at headquarters: 5 days
115,Pearle Vision,Eye care and eyewear,#115 Franchise 500,"$410,199 ","$622,400 ",,,1961,1980,"4000 Luxottica Pl. Mason, OH 45040",,94,160,throughout the US,Training Onsite: 12 days
116,Right at Home Inc.,"Home care, medical staffing",#116 Franchise 500,"$78,200 ","$133,400 ",+7.3% +32 UNITS,+27.7% +121 UNITS,1995,2000,"6464 Center St., #150 Omaha, NB 68106",10% off franchise fee,116,265,,Training at headquarters: 10 days
117,N-Hance,Wood floor and cabinet refinishing,#117 Franchise 500,"$24,300 ","$147,262 ",+7.0% +26 UNITS,+23.1% +86 UNITS,2001,2003,"1530 N. 1000 West Logan, UT 84321",10% off franchise-fee down payment,117,398,,Training at headquarters: 7 days
118,Gateway Newstands,Newsstand and sundry stores,#118 Franchise 500,"$55,875 ","$501,750 ",,,1983,1983,"240 Chrislea Rd. Woodbridge, ON L4L 8V1",,97,285,,Training Onsite: 3 days
119,Krispy Kreme Doughnut Corp.,"Doughnuts, coffee",#119 Franchise 500,"$275,000 ","$1,911,250 ",+15.5% +162 UNITS,+24.5% +256 UNITS,1937,1947,"370 Knollwood St., #500 Winston-Salem, NC 27103",,,,worldwide,Training Onsite: 65 days
120,Palm Beach Tan,Tanning,#120 Franchise 500,"$503,070 ","$811,140 ",+4.2% +18 UNITS,+24.1% +102 UNITS,1990,2001,"633 E. State Hwy. 121 S., #500 Coppell, TX 75019",,120,471,throughout the US,Training Onsite: 5 days
121,Cost Cutters Family Hair Care,Family hair salons,#121 Franchise 500,"$139,550 ","$287,100 ",,,1982,1982,"7201 Metro Blvd. Minneapolis, MN 55439","$2,500 rebate on first-store franchise fee",71,198,worldwide,Training at headquarters: 5 days
122,Carvel Corp.,"Ice cream, ice-cream cakes",#122 Franchise 500,"$250,300 ","$383,100 ",,,1934,1947,"5620 Glenridge Dr. N.E. Atlanta, GA 30342","$10,000 off franchise fee",93,280,in the following regions/states;See List,Training Onsite: 3-8 days
123,Gold's Gym,Health and fitness centers,#123 Franchise 500,"$2,218,250 ","$5,000,500 ",,+6.8% +48 UNITS,1965,1980,"4001 Maple Ave., #200 Dallas, TX 75219",20% off franchise fee,63,210,worldwide,Training Onsite: 2 weeks
124,Travel Leaders,Travel agencies,#124 Franchise 500,"$2,270 ","$16,910 ",,+3.0% +11 UNITS,1888,1984,"3033 Campus Dr., #W320 Plymouth, MN 55441",,124,400,worldwide,Training Onsite: varies
125,Orange Leaf Frozen Yogurt,Frozen yogurt,#125 Franchise 500,"$223,000 ","$427,500 ",,,2008,2009,"14201 Caliber Dr., #200 Oklahoma City, OK 73134",10% off franchise fee,125,359,worldwide,Training Onsite: at grand opening
126,Jet's Pizza,"Pizza, subs, wings, salads",#126 Franchise 500,"$450,000 ","$630,500 ",+9.9% +37 UNITS,+18.2% +68 UNITS,1978,1990,"37501 Mound Rd. Sterling Heights, MI 48310",,126,359,in the following regions/states;See List,Training Onsite: 3+ days
127,American Leak Detection,"Concealed water, gas, and sewer leak-detection",#127 Franchise 500,"$76,755 ","$259,550 ",+6.0% +25 UNITS,+6.0% +25 UNITS,1974,1984,"888 Research Dr., #100 Palm Springs, CA 92262","$5,000 off franchise fee",98,192,internationally,Training Onsite: 2 weeks
128,Great American Cookies,Cookies,#128 Franchise 500,"$202,900 ","$362,650 ",+2.8% +10 UNITS,+3.1% +11 UNITS,1977,1977,"5555 Glenridge Connector, #850 Atlanta, GA 30342",25% off first-store franchise fee,116,294,,Training Onsite: 4 days
129,Homewood Suites by Hilton,Upscale extended-stay hotels,#129 Franchise 500,"$10,899,500 ","$20,925,750 ",+5.7% +21 UNITS,+9.3% +34 UNITS,1988,1988,"7930 Jones Branch Dr., #1100 McLean, VA 22102",,109,178,,Training Onsite: varies
130,EmbroidMe,"Embroidery, screen printing, promotional products",#130 Franchise 500,"$89,433 ","$213,985 ",+1.9% +5 UNITS,,2000,2001,"2121 Vista Pkwy. West Palm Beach, FL 33411",10% off franchise fee,99,421,worldwide,Training Onsite: 15 days
131,Sculpture Hospitality,Bar and restaurant management solutions,#131 Franchise 500,"$43,400 ","$57,100 ",+1.8% +7 UNITS,+6.6% +25 UNITS,1987,1990,"210-515 Consumers Rd. Toronto, ON M2J 4Z2",,122,418,worldwide,Training Onsite: 5 days
132,Once Upon A Child,"New and used children's clothing, equipment, furniture, toys",#132 Franchise 500,"$254,500 ","$392,200 ",+7.3% +23 UNITS,+13.9% +44 UNITS,1984,1992,"605 Hwy. 169 N., #400 Minneapolis, MN 55441",,132,408,,Training Onsite: 4 days
133,First Choice Haircutters,Family hair salons,#133 Franchise 500,"$162,000 ","$281,000 ",,,1980,1980,"6465 Millcreek Dr., #210 Mississauga, ON L5N 5R6",,101,198,,Training at headquarters: 5 days
134,Rainbow Int'l. Restoration & Cleaning,Indoor cleaning and restoration,#134 Franchise 500,"$171,675 ","$278,100 ",+6.9% +23 UNITS,+6.0% +20 UNITS,1981,1981,"1010 N. University Parks Dr. Waco, TX 76707",15% off franchise fee,103,451,,Training Onsite: ongoing
135,Primrose School Franchising Co.,Educational child care,#135 Franchise 500,"$677,180 ","$5,777,078 ",+5.3% +16 UNITS,+8.7% +26 UNITS,1982,1988,"3660 Cedarcrest Rd. Acworth, GA 30101","$20,000 off franchise fee",132,193,throughout the US,Training Onsite: 10 days (80 hours)
136,Doubletree by Hilton,Upscale hotels and resorts,#136 Franchise 500,"$35,493,750 ","$62,397,125 ",+9.4% +40 UNITS,+13.1% +56 UNITS,1969,1989,"7930 Jones Branch Dr., #1100 McLean, VA 22102",,128,242,worldwide,Training Onsite: varies
137,Weichert Real Estate Affiliates Inc.,Real estate,#137 Franchise 500,"$50,000 ","$364,700 ",+7.2% +30 UNITS,+10.6% +44 UNITS,1969,2000,"225 Littleton Rd. Morris Plains, NJ 07950",,137,322,throughout the US,Training Onsite: 2 days
138,Knights Inn,Hotels,#138 Franchise 500,"$102,384 ","$7,243,349 ",,+2.8% +11 UNITS,1972,1991,"22 Sylvan Wy. Parsippany, NJ 07054",,106,235,,Training Onsite: 3-4 days
139,Penn Station East Coast Subs,Grilled subs,#139 Franchise 500,"$313,725 ","$588,911 ",+6.1% +18 UNITS,+12.1% +36 UNITS,1985,1987,"1226 U.S. Hwy. 50 Milford, OH 45150",,136,206,in the following regions/states;See List,Training Onsite: 7-14 days
140,Club Z! In-Home Tutoring Services,In-home tutoring,#140 Franchise 500,"$33,600 ","$57,550 ",,,1995,1998,"17425 Bridge Hill Ct., #200 Tampa, FL 33647",10% off franchise fee,93,236,worldwide,Training at headquarters: 2 days
141,Baymont Inn & Suites,Hotels,#141 Franchise 500,"$185,589 ","$6,360,949 ",+3.7% +14 UNITS,+15.7% +60 UNITS,1974,1987,"22 Sylvan Wy. Parsippany, NJ 07054",,121,266,,Training Onsite: 3-4 days
142,Wienerschnitzel,"Hot dogs, ice cream",#142 Franchise 500,"$303,600 ","$1,340,500 ",,,1961,1965,"7700 Irvine Center Dr., #550 Irvine, CA 92618",25% off franchise fee,,,in the following regions/states;See List,Training Onsite: 7-14 days
143,AAMCO Transmissions and Total Car Care,Transmission repair and car care,#143 Franchise 500,"$227,400 ","$333,000 ",,,1963,1963,"201 Gibraltar Rd. Horsham, PA 19044","$8,000 off franchise fee",51,143,worldwide,Training Onsite: 5 days
144,Wild Birds Unlimited,Bird-feeding supplies and nature gift items,#144 Franchise 500,"$125,978 ","$199,172 ",+0.7% +2 UNITS,+1.7% +5 UNITS,1981,1983,"11711 N. College Ave., #146 Carmel, IN 46032",15% off franchise fee,123,364,,Training Onsite: 2 days + 5 days at certified t
145,The HoneyBaked Ham Co. & Cafe,Specialty ham and turkey stores/cafes,#145 Franchise 500,"$291,800 ","$449,100 ",,,1957,1998,"3875 Mansell Rd. Alpharetta, GA 30022-1532","$10,000 off franchise fee",145,370,throughout the U.S.,Training Onsite: 7 days
146,McAlister's Deli,"Sandwiches, salads, baked potatoes",#146 Franchise 500,"$579,000 ","$1,457,500 ",+9.4% +34 UNITS,+11.6% +42 UNITS,1989,1994,"5620 Glenridge Dr. Atlanta, GA 30342","$5,000 off franchise fee",136,164,throughout the US,Training Onsite: 5 days
147,Fish Window Cleaning Services Inc.,Window cleaning,#147 Franchise 500,"$83,225 ","$146,200 ",+1.2% +3 UNITS,+5.0% +13 UNITS,1978,1998,"200 Enchanted Pkwy. Manchester, MO 63021",10% off franchise fee,119,247,throughout the US,Training Onsite: 3-5 days
148,Real Property Management,Property management,#148 Franchise 500,"$79,875 ","$103,875 ",+4.4% +12 UNITS,+13.2% +36 UNITS,1986,2005,"1455 W. 2200 South, #300 Salt Lake City, UT 84119",10% off franchise fee,143,159,,Training at headquarters: 4 days
149,Mint Condition Franchising Inc.,"Commercial cleaning, building maintenance",#149 Franchise 500,"$4,890 ","$45,400 ",+9.6% +30 UNITS,+12.2% +38 UNITS,1996,1996,"1057 Red Ventures Dr., #165 Fort Mill, SC 29707",,146,389,in the following regions/states;See List,Training Onsite: 1 day
150,Synergy HomeCare,Nonmedical home care,#150 Franchise 500,"$35,425 ","$149,400 ",+10.0% +31 UNITS,+16.7% +52 UNITS,2001,2005,"1757 E. Baseline Rd., Bldg. 6, #124 Gilbert, AZ 85233","$2,000 off franchise fee",150,407,,Training Onsite: 1 day
151,Schlotzsky's,"Sandwiches, pizza, salads",#151 Franchise 500,"$503,814 ","$786,984 ",+2.0% +7 UNITS,+0.3% +1 UNITS,1971,1976,"5620 Glenridge Dr. Atlanta, GA 30342","$10,000 off franchise fee",137,322,worldwide,Training Onsite: 5 days
152,Maid Brigade,Residential cleaning,#152 Franchise 500,"$85,000 ","$124,000 ",,,1979,1980,"4 Concourse Pkwy., #200 Atlanta, GA 30328",10% off franchise fee,64,299,worldwide,Training Onsite: 4 days
153,Postal Annex+,"Packing, shipping, postal, and business services",#153 Franchise 500,"$151,500 ","$224,450 ",+3.8% +10 UNITS,+3.8% +10 UNITS,1985,1986,"7580 Metropolitan Dr., #200 San Diego, CA 92108",20% off franchise fee,99,286,worldwide,Training Onsite: 4 days
154,The Joint Corp.,Chiropractic services,#154 Franchise 500,"$216,200 ","$331,700 ",+16.5% +44 UNITS,+34.2% +91 UNITS,1999,2003,"16767 N. Perimeter Dr., #240 Scottsdale, AZ 85260",15% off franchise fee,154,285,throughout the U.S.,Training Onsite: 3 days
155,Paul Davis Restoration,Insurance restoration,#155 Franchise 500,"$188,240 ","$391,077 ",,+20.4% +53 UNITS,1966,1970,"7251 Salisbury Rd., #6 Jacksonville, FL 32256","$10,000 off franchise fee",155,359,,Training Onsite: 7 days
156,Cellairis Franchise Inc.,Cellphone and wireless-device accessories and repairs,#156 Franchise 500,"$52,425 ","$330,000 ",,,2000,2006,"6485 Shiloh Rd., #B-100 Alpharetta, GA 30005",20% off franchise fee,66,156,worldwide,Training at headquarters: 5 days
157,Tutor Doctor,Tutoring,#157 Franchise 500,"$68,500 ","$141,400 ",+11.1% +50 UNITS,+11.3% +51 UNITS,2000,2003,"20 A Voyager Court South Toronto, ON M9W 5M7","$5,000 off regional territory franchise fee ($49,700)",107,492,,Training Onsite: 3 days
158,Coffee News,Weekly newspapers distributed at restaurants,#158 Franchise 500,"$9,750 ","$10,750 ",+1.8% +15 UNITS,,1988,1994,"One Cumberland Pl., #102 Bangor, ME 04401",Three-year 0% financing for 2nd through 5th units,54,220,worldwide,Training at headquarters: 3 days
159,U.S. Lawns,Commercial grounds care,#159 Franchise 500,"$32,800 ","$79,300 ",+1.1% +3 UNITS,+1.9% +5 UNITS,1986,1987,"4700 Millenia Blvd., #240 Orlando, FL 32839","$5,000 off franchise fee",131,280,throughout the US,Training Onsite: Ongoing
160,One Hour Heating & Air Conditioning,"Residential HVAC maintenance, repair, and replacement",#160 Franchise 500,"$77,055 ","$552,300 ",,,1999,2003,"50 Central Ave., #920 Sarasota, FL 34236",10% off franchise fee,117,367,,Training Onsite: up to 10 days
161,Cartridge World,"Printers, cartridges, and printer services",#161 Franchise 500,"$70,300 ","$153,800 ",,,1997,1997,"3917 Mercy Dr. McHenry, IL 60050",15% off franchise fee,33,414,worldwide,Training Onsite: 4 weeks
162,Two Men and a Truck Int'l. Inc.,Moving services,#162 Franchise 500,"$75,000 ","$590,500 ",+3.3% +9 UNITS,+16.7% +46 UNITS,1985,1989,"3400 Belle Chase Wy. Lansing, MI 48911",10% off franchise fee,147,213,worldwide,Training Onsite: 4 days
163,Wetzel's Pretzels,"Soft pretzels, lemonade, hot dogs",#163 Franchise 500,"$164,950 ","$383,850 ",+3.7% +11 UNITS,+4.7% +14 UNITS,1994,1996,"35 Hugus Alley., #300 Pasadena, CA 91103",,126,239,worldwide,Training Onsite: 5 days
164,Red Roof Franchising LLC,Economy hotels,#164 Franchise 500,"$3,475,600 ","$4,970,500 ",+8.1% +33 UNITS,+14.7% +60 UNITS,1972,1996,"605 S. Front St. Columbus, OH 43215",,,,throughout the US,Training Onsite: 4-5 days
165,Benjamin Franklin Plumbing,"Plumbing service, repair, maintenance",#165 Franchise 500,"$83,555 ","$419,050 ",,,2000,2001,"50 Central Ave., #920 Sarasota, FL 34236",10% off franchise fee,130,454,,Training Onsite: up to 10 days
166,Realty Executives Intl. Svcs. LLC,Real estate,#166 Franchise 500,"$20,400 ","$119,000 ",+1.7% +9 UNITS,+2.5% +13 UNITS,1965,1973,"8324 E. Hartford Dr., #100 Scottsdale, AZ 85255",,,,worldwide,Training Onsite: 1 day
167,Seniors Helping Seniors,Nonmedical home care,#167 Franchise 500,"$86,785 ","$141,390 ",+11.3% +32 UNITS,+18.4% +52 UNITS,1998,2006,"50 Grandview Blvd. Wyomissing Hills, PA 19609",,139,176,worldwide,Training at headquarters: 5 days
168,Pure Barre,Barre fitness classes and apparel,#168 Franchise 500,"$154,500 ","$282,000 ",+15.9% +51 UNITS,+43.0% +138 UNITS,2001,2009,"100 Dunbar St., #301 Spartanburg, SC 29306",,,,worldwide,Training at headquarters: 2-4 days
169,Mathnasium Learning Centers,Math tutoring,#169 Franchise 500,"$90,750 ","$137,610 ",+16.2% +110 UNITS,+28.7% +194 UNITS,2002,2003,"5120 W. Goldleaf Cir., #300 Los Angeles, CA 90056",25% off franchise fee,86,379,,Training at headquarters: 10 days
170,Window Genie,"Residential window cleaning, window tinting, pressure washing",#170 Franchise 500,"$90,800 ","$140,000 ",+9.9% +23 UNITS,+15.9% +37 UNITS,1994,1998,"40 W. Crescentville Rd. Cincinnati, OH 45246",Expanded territory,170,499,in the following regions/states;See List,Training Onsite: 5 days
171,SuperGlass Windshield Repair,"Windshield repair, glass scratch removal, headlight lens repair",#171 Franchise 500,"$9,910 ","$31,000 ",+7.5% +24 UNITS,+7.5% +24 UNITS,1992,1993,"6220 Hazeltine National Dr., #118 Orlando, FL 32822",10% off franchise fee,157,299,worldwide,Training Onsite: 5 days
172,HealthSource Chiropractic and Progressive Rehab,"Chiropractic, rehab, nutrition, and wellness services",#172 Franchise 500,"$58,044 ","$249,100 ",,,1998,2006,"36901 American Wy., #7 Avon, OH 44011",,96,258,worldwide,Training Onsite: 8 days
173,Yogurtland Franchising Inc.,Self-serve frozen yogurt,#173 Franchise 500,"$309,816 ","$702,546 ",,+22.7% +70 UNITS,2006,2007,"17801 Cartwright Rd. Irvine, CA 92614",,168,216,worldwide,Training Onsite: 3 days
174,The Grounds Guys LLC,Landscape maintenance,#174 Franchise 500,"$73,470 ","$200,070 ",+1.5% +3 UNITS,+7.7% +15 UNITS,2010,2010,"1020 N. University Parks Dr. Waco, TX 76707",15% off franchise fee,174,299,throughout the U.S.,Training Onsite: ongoing
175,JEI Learning Centers,Individualized supplemental education,#175 Franchise 500,"$62,750 ","$100,750 ",+0.4% +2 UNITS,+18.7% +98 UNITS,1977,1992,"4465 Wilshire Blvd., #302 Los Angeles, CA 90010",,,,worldwide,Training Onsite: 3 days
176,Microtel Inn & Suites by Wyndham,Hotels,#176 Franchise 500,"$4,343,815 ","$6,745,386 ",+2.7% +9 UNITS,+6.9% +23 UNITS,1987,1988,"22 Sylvan Wy. Parsippany, NJ 07054",,115,351,worldwide,Training Onsite: 3-4 days
177,BrightStar Care,"Medical/nonmedical home care, medical staffing",#177 Franchise 500,"$92,371 ","$174,032 ",+9.5% +27 UNITS,+10.2% +29 UNITS,2002,2005,"1125 Tri-State Pkwy., #700 Gurnee, IL 60031","$5,000 off first-unit franchise fee",117,177,,Training at headquarters: 10 days
178,Unishippers Global Logistics LLC,Shipping services,#178 Franchise 500,"$45,024 ","$421,391 ",+2.9% +9 UNITS,+4.9% +15 UNITS,1987,1987,"746 E. Winchester, #200 Salt Lake City, UT 84107",20% off franchise fee,172,425,in the following regions/states;See List,Training Onsite: 2-3 days
179,Togo's Franchisor LLC,"Specialty sandwiches, salads, soups, wraps",#179 Franchise 500,"$239,700 ","$543,200 ",,+2.8% +7 UNITS,1971,1977,"18 N. San Pedro St. San Jose, CA 95110",20% off franchise fee,151,457,in the following regions/states;See List,Training at headquarters: 4 weeks
180,Country Inns & Suites By Carlson,Hotels,#180 Franchise 500,"$6,526,242 ","$7,714,408 ",+1.1% +5 UNITS,+0.4% +2 UNITS,1986,1987,"701 Carlson Pkwy., MS8254 Minnetonka, MN 55305",,73,206,worldwide,Training Onsite: varies
181,Homewatch CareGivers,"Home care, nursing-care coordination, memory care",#181 Franchise 500,"$87,000 ","$137,400 ",+0.4% +1 UNITS,+2.6% +6 UNITS,1976,1996,"7100 E. Belleview Ave., #101 Greenwood Village, CO 80111",10% off franchise fee,149,279,,Training Onsite: 3 days
182,Elements Massage,Therapeutic massage services,#182 Franchise 500,"$214,800 ","$380,700 ",+13.5% +28 UNITS,+24.2% +50 UNITS,2000,2006,"9092 Ridgeline Blvd., #A Highlands Ranch, CO 80129","$10,000 off first-unit franchise fee",,,throughout the US,
183,Mr. Sandless/Dr. DecknFence,Interior and exterior sandless wood refinishing,#183 Franchise 500,"$26,810 ","$87,385 ",,,2004,2005,"2970 Concord Rd. Aston, PA 19014",,125,253,worldwide,Training at headquarters: 5 days
184,Interstate All Battery Center,Batteries,#184 Franchise 500,"$172,600 ","$411,000 ",,,1999,2000,"12770 Merit Dr., #1000 Dallas, TX 75251","$5,000 in initial inventory",155,252,throughout the US,Training Onsite: 21 days
185,Transworld Business Advisors,"Business brokerages, franchise consulting",#185 Franchise 500,"$64,632 ","$86,877 ",+8.4% +16 UNITS,+22.1% +42 UNITS,2007,2007,"2121 Vista Pkwy. West Palm Beach, FL 33411",10% off franchise fee,185,419,worldwide,Training at headquarters: 6 days
186,AdvantaClean,Environmental services,#186 Franchise 500,"$124,800 ","$226,223 ",+6.9% +15 UNITS,+26.4% +57 UNITS,1994,2006,"107 Parr Dr. Huntersville, NC 28078",10% off franchise fee,186,291,throughout the US,Training Onsite: 2 days
187,Hand and Stone Massage and Facial Spa,Massage and spa services,#187 Franchise 500,"$466,155 ","$528,389 ",+27.5% +61 UNITS,+50.0% +111 UNITS,2004,2006,"1210 Northbrook Dr., #150 Trevose, PA 19053",20% off franchise fee,187,411,internationally,Training Onsite: 7 days
188,MaidPro,Residential cleaning,#188 Franchise 500,"$58,960 ","$203,770 ",+7.1% +14 UNITS,+12.7% +25 UNITS,1991,1997,"77 N. Washington St. Boston, MA 02114","$3,000 off franchise fee & $12,000 in invoice credits",174,269,,Training at headquarters: 5 days
189,Embassy Suites by Hilton,Upscale all-suite hotels,#189 Franchise 500,"$28,460,000 ","$41,785,375 ",+2.2% +5 UNITS,+3.6% +8 UNITS,1983,1984,"7930 Jones Branch Dr., #1100 McLean, VA 22102",,163,305,worldwide,Training Onsite: varies
190,9Round-30 min Kickbox Fitness,Kickboxing circuit-training programs,#190 Franchise 500,"$66,600 ","$102,700 ",+28.0% +68 UNITS,+63.0% +153 UNITS,2007,2009,"847 N.E. Main St. Simpsonville, SC 29681",15% off franchise fee,190,443,worldwide,Training at headquarters: 4 days
191,Colors On Parade,Mobile auto paint and dent repair,#191 Franchise 500,"$33,800 ","$103,000 ",+7.2% +17 UNITS,+8.0% +19 UNITS,1989,1991,"P.O. Box 50940 Myrtle Beach, SC 29579",10% off franchise fee,169,441,worldwide,Training at headquarters: 3-10 days
192,ComForCare Home Care,Nonmedical home care,#192 Franchise 500,"$86,950 ","$162,000 ",,+8.3% +16 UNITS,1996,2001,"2520 Telegraph Rd., #201 Bloomfield Hills, MI 48302",10% off franchise fee,164,304,,Training Onsite: 5 days
193,Heits Building Services,Commercial cleaning and maintenance,#193 Franchise 500,"$90,750 ","$188,200 ",+13.4% +31 UNITS,+20.7% +48 UNITS,2003,2003,"One University Plaza Hackensack, NJ 07601",10% off franchise fee,,,worldwide,
194,Soccer Shots Franchising LLC,Soccer programs for ages 2 to 8,#194 Franchise 500,"$31,784 ","$39,000 ",+5.9% +10 UNITS,+20.1% +34 UNITS,1999,2005,"1401 Aip Dr., #200 Middletown, PA 17057",15% off franchise fee,180,479,,Training Onsite: 2 days
195,Homes & Land,Real-estate marketing magazines,#195 Franchise 500,"$47,500 ","$116,000 ",,+0.9% +2 UNITS,1973,1984,"1830 E. Park Ave. Tallahassee, FL 32301",50% off franchise fee,95,400,,Training Onsite: 15 days
196,ASP-America's Swimming Pool Co.,"Swimming pool maintenance, repairs, and renovations",#196 Franchise 500,"$96,077 ","$143,332 ",+9.1% +16 UNITS,+26.1% +46 UNITS,2001,2005,"3986 Lake St. Macon, GA 31204",Free 15% territory-size increase,188,459,throughout the US,Training Onsite: 2 days
197,Tailored Living,Home organization products and services,#197 Franchise 500,"$131,130 ","$269,495 ",+12.0% +22 UNITS,+31.5% +58 UNITS,2006,2006,"1927 N. Glassell St. Orange, CA 92865","$5,000 off territory fee",,,,Training at headquarters: 10 days
198,Huntington Learning Centers,Tutoring and test prep,#198 Franchise 500,"$96,675 ","$204,430 ",+4.9% +13 UNITS,+3.0% +8 UNITS,1977,1985,"496 Kinderkamack Rd. Oradell, NJ 07649",50% off franchise fee,107,500,in the following regions/states;See List,Training Onsite: 1-2 weeks+
199,Sandler Training,Sales and sales-management training,#199 Franchise 500,"$91,525 ","$108,500 ",,+4.9% +12 UNITS,1967,1983,"300 Red Brook Blvd., #400 Owings Mills, MD 21117","$5,000 off franchise fee",184,380,worldwide,Training at headquarters: 8 days
200,Pet Supplies Plus,Retail pet supplies and services,#200 Franchise 500,"$550,400 ","$1,307,400 ",+8.2% +27 UNITS,+15.2% +50 UNITS,1987,1990,"17197 N. Laurel Park Dr., #402 Livonia, MI 48152","$6,000 off franchise fee",170,308,throughout the US,Training Onsite: 14 days
201,My Gym Children's Fitness Center,Early-learning/fitness programs,#201 Franchise 500,"$36,750 ","$249,700 ",+12.7% +48 UNITS,+23.1% +87 UNITS,1983,1995,"15300 Ventura Blvd., #414 Sherman Oaks, CA 91403","$10,000 off franchise fee",182,372,worldwide,Training Onsite: 10 days
202,Gyu-Kaku Japanese BBQ Restaurant,Japanese barbeque restaurants,#202 Franchise 500,"$789,793 ","$2,110,501 ",+0.4% +3 UNITS,+1.6% +11 UNITS,1996,1997,"1225 W. 190th St., #375 Gardena, CA 90248",,,,in the following regions/states;See List,Training Onsite: 10 days
203,WIN Home Inspection,Home inspections,#203 Franchise 500,"$36,150 ","$53,500 ",+2.7% +5 UNITS,+5.9% +11 UNITS,1993,1994,"3326 Aspen Grove Dr., #160 Franklin, TN 37067","$6,000 off franchise fee",155,434,throughout the US,Training at headquarters: 2 weeks
204,Camp Bow Wow,"Dog daycare, boarding, training, grooming, in-home pet care",#204 Franchise 500,"$409,701 ","$1,095,359 ",+6.3% +8 UNITS,+11.8% +15 UNITS,2000,2003,"8820 W. 116th Cir., #D Broomfield, CO 80021",10% off franchise fee,204,458,,Training Onsite: 4 days
205,Pizza Ranch,"Pizza, chicken, salad bar, buffet",#205 Franchise 500,"$1,032,000 ","$2,759,000 ",+1.1% +2 UNITS,+8.4% +16 UNITS,1981,1984,"204 19th St. S.E. Orange City, IA 51041",,179,305,in the following regions/states;See List,Training Onsite: 2 weeks
206,Keller Williams Realty,Real estate,#206 Franchise 500,"$183,947 ","$336,995 ",+6.2% +47 UNITS,+9.2% +70 UNITS,1983,1987,"1221 S. MoPac Expwy., #400 Austin, TX 78746",,44,415,worldwide,Training Onsite: as needed
207,Caring Transitions,Sales of estates and household goods,#207 Franchise 500,"$58,112 ","$85,812 ",+0.6% +1 UNITS,+10.8% +18 UNITS,2006,2006,"10700 Montgomery Rd., #210 Cincinnati, OH 45242","$2,000 off franchise fee",181,500,worldwide,Training at headquarters: 5 days
