2016 Rank,Company,Category Detail,Franchise 500 Rank,Initial Investment,High,Change In Units 1 Yr,Change In Units 3 Yr,Founded,Franchising Since,Corporate Address,Veteran Incentives,Highest Rank,Lowest Rank,Where Seeking Franchisees,Operations
357,You've Got Maids,Environmentally friendly residential cleaning,#357 Franchise 500,"$36,394 ","$107,037 ",+16.7% +8 UNITS,+35.4% +17 UNITS,2005,2010,"3015 Dunes West Blvd., #101 Mount Pleasant, SC 29466",,,,,Training at headquarters: 4 days
358,Zippy Shell Self Storage and Moving,Mobile self-storage and moving services,#358 Franchise 500,"$505,485 ","$891,200 ",+23.5% +12 UNITS,+54.9% +28 UNITS,2009,2009,"3050 K St. N.W., #170 Washington, D.C., DC 20007","10% off franchise fee, special financing",336,428,worldwide,Training at headquarters: 2 days
359,Honest-1 Auto Care LLC,Auto repair and maintenance,#359 Franchise 500,"$193,650 ","$507,150 ",+22.6% +12 UNITS,+39.6% +21 UNITS,2003,2003,"7430 E. Butherus Dr., #A Scottsdale, AZ 85260","$5,000 off franchise fee",321,373,,Training Onsite: 14 days
360,Furniture Medic,"Furniture and wood restoration, repair, and refinishing",#360 Franchise 500,"$79,005 ","$89,432 ",+6.4% +22 UNITS,+7.6% +26 UNITS,1992,1992,"3839 Forest Hill Irene Rd. Memphis, TN 38125",15% off franchise fee,188,401,worldwide,Training at headquarters: 10 days
361,Mainstream Boutique,"Women's clothing, accessories, gifts",#361 Franchise 500,"$60,000 ","$178,000 ",+23.1% +12 UNITS,+48.1% +25 UNITS,1991,1998,"7900 International Dr., #515 Minneapolis, MN 55425",,361,416,throughout the US,Training Onsite: 2 days
362,Outdoor Lighting Perspectives,"Residential, holiday and hospitality lighting",#362 Franchise 500,"$50,850 ","$143,050 ",+4.1% +2 UNITS,+10.2% +5 UNITS,1995,1998,"2924 Emerywood Pkwy., #101 Richmond, VA 23294",15% off franchise fee (30% off in May and November),,,,Training Onsite: Varies
363,Touching Hearts At Home,Nonmedical home care for seniors and people with disabilities,#363 Franchise 500,"$48,400 ","$69,100 ",+13.3% +6 UNITS,+33.3% +15 UNITS,1996,2007,"7505 Metro Blvd., #340 Minneapolis, MN 55439",10% off franchise fee,,,throughout the US,Training at headquarters: 5 days
364,Bahama Buck's Original Shaved Ice Co.,"Shaved ice, fruit smoothies",#364 Franchise 500,"$223,346 ","$720,825 ",+41.2% +28 UNITS,+57.4% +39 UNITS,1989,1993,"5741 50th St. Lubbock, TX 79424",,,,in the following regions/states;See List,Training Onsite: 10 days
365,Closets By Design Franchising,Custom closet and home/office organization systems,#365 Franchise 500,"$126,000 ","$296,500 ",+4.5% +2 UNITS,+4.5% +2 UNITS,1982,1998,"11145 Knott Ave., #A Cypress, CA 90630",,,,,Training Onsite: 10 days
366,Welcomemat Services,Direct-mail advertising to new movers,#366 Franchise 500,"$58,830 ","$87,180 ",+24.1% +14 UNITS,+51.7% +30 UNITS,2003,2010,"3348 Peachtree Rd., #1095 Atlanta, GA 30326",7% off franchise fee,,,throughout the US,Training Onsite: 3 days
